"SAMPN","VEHNO","YEAR","MAKE","O_MAKE","MODEL","BODY","O_BODY","FUEL","O_FUEL","USER","CNTV","O_CNTV","HHWGT","EXPWGT"
2001087,1,2000,16.00,,"1500 PICK UP",4.00,,1.00,,1.00,2.00,"NOT NEEDED",1.52,254.48
2001087,2,2002,26.00,,"SANTA FE",3.00,,1.00,,1.00,1.00,,1.52,254.48
2001092,1,2004,24.00,,"ELEMENT",3.00,,1.00,,1.00,1.00,,1.54,258.68
2001092,2,2005,50.00,,"COROLLA",1.00,,1.00,,2.00,1.00,,1.54,258.68
2001094,1,2010,22.00,,"SIERRA",4.00,,1.00,,1.00,1.00,,1.15,192.70
2001094,2,2008,17.00,,"SEBRING",1.00,,4.00,,2.00,2.00,"NOT NEEDED",1.15,192.70
2001094,3,1995,23.00,,"DK/RF",99.00,,1.00,,1.00,2.00,"NOT NEEDED",1.15,192.70
2001102,1,2006,13.00,,"530XI",1.00,,1.00,,1.00,1.00,,1.63,273.25
2001102,2,2001,13.00,,"740IL",1.00,,1.00,,2.00,1.00,,1.63,273.25
2001119,1,2005,16.00,,"SILVERADO",4.00,,1.00,,1.00,2.00,"NOT NEEDED",1.29,216.64
2001140,1,1998,20.00,,"DK/RF",2.00,,1.00,,2.00,2.00,"NOT NEEDED",1.73,290.74
2001140,2,1992,14.00,,"LESABRE",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.73,290.74
2001144,1,2005,16.00,,"MALIBU",1.00,,1.00,,2.00,1.00,,1.69,282.65
2001144,2,1999,20.00,,"TAURUS WAGON",1.00,,1.00,,1.00,1.00,,1.69,282.65
2001171,1,2001,20.00,,"WINDSTAR",2.00,,1.00,,1.00,1.00,,1.85,310.42
2001176,1,2007,20.00,,"TAURUS",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.51,253.41
2001179,1,2006,48.00,,"OUTBACK",3.00,,1.00,,1.00,1.00,,0.74,123.71
2001179,2,2005,24.00,,"CIVIC",1.00,,1.00,,2.00,1.00,,0.74,123.71
2001209,1,2008,20.00,,"EXPLORER",3.00,,1.00,,1.00,1.00,,1.44,241.39
2001211,1,9999,98.00,,"REFUSED",1.00,,1.00,,2.00,2.00,"MAIL-IN",1.38,230.72
2001215,1,2005,19.00,,"MAGNUM",1.00,,1.00,,1.00,1.00,,1.26,211.32
2001215,2,2006,30.00,,"LIBERTY",3.00,,2.00,,2.00,1.00,,1.26,211.32
2001215,3,2009,50.00,,"YARIS",1.00,,1.00,,3.00,1.00,,1.26,211.32
2001215,4,2010,50.00,,"YARIS",1.00,,1.00,,4.00,1.00,,1.26,211.32
2001222,1,2005,50.00,,"PRIUS",1.00,,3.00,,1.00,1.00,,1.09,183.54
2001222,2,2008,50.00,,"SORENTO",99.00,,1.00,,2.00,1.00,,1.09,183.54
2001222,3,2000,50.00,,"4RUNNER",3.00,,1.00,,3.00,1.00,,1.09,183.54
2001244,1,1994,42.00,,"SUNBIRD",1.00,,1.00,,1.00,2.00,"NOT IN WORKING CONDITION",1.54,258.99
2001246,1,2005,16.00,,"SILVERADO",4.00,,1.00,,1.00,1.00,,1.01,169.56
2001246,2,2003,40.00,,"DK/RF",1.00,,1.00,,2.00,1.00,,1.01,169.56
2001253,1,2008,48.00,,"LEGACY",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.35,226.01
2001276,1,2006,50.00,,"SIENNA",2.00,,1.00,,2.00,1.00,,2.02,338.97
2001279,1,2003,22.00,,"ENVOY",3.00,,1.00,,1.00,1.00,,1.43,239.02
2001279,2,2007,34.00,,"LS",1.00,,1.00,,2.00,1.00,,1.43,239.02
2001280,1,2003,16.00,,"TRAIL BLAZER",3.00,,1.00,,1.00,2.00,"NOT NEEDED",1.08,182.07
2001280,2,2008,16.00,,"SILVERADO",4.00,,1.00,,2.00,2.00,"NOT NEEDED",1.08,182.07
2001285,1,2001,48.00,,"FORESTER",3.00,,1.00,,1.00,1.00,,1.21,203.20
2001285,2,2004,20.00,,"WINDSTAR",2.00,,1.00,,2.00,2.00,"NOT NEEDED",1.21,203.20
2001288,1,1999,20.00,,"ESCORT",1.00,,1.00,,1.00,1.00,,1.03,173.62
2001292,1,2002,52.00,,"S60",1.00,,1.00,,1.00,1.00,,1.45,242.70
2001293,1,2005,14.00,,"LACROSSE",1.00,,1.00,,1.00,1.00,,0.90,150.46
2001293,2,2010,26.00,,"TUCSON",3.00,,1.00,,3.00,1.00,,0.90,150.46
2001293,3,1995,14.00,,"PARK AVENUE",1.00,,1.00,,3.00,1.00,,0.90,150.46
2001312,1,2000,42.00,,"MONTANA",2.00,,1.00,,2.00,1.00,,1.46,245.53
2001312,2,2002,14.00,,"CENTURY",1.00,,1.00,,1.00,1.00,,1.46,245.53
2001314,1,2007,24.00,,"DK/RF",99.00,,1.00,,2.00,1.00,,1.38,230.72
2001320,1,2003,24.00,,"CIVIC",1.00,,1.00,,1.00,1.00,,0.75,126.62
2001320,2,1989,13.00,,"325CI",1.00,,1.00,,1.00,2.00,"NOT NEEDED",0.75,126.62
2001320,3,2008,50.00,,"TACOMA",4.00,,1.00,,1.00,2.00,"NOT NEEDED",0.75,126.62
2001327,1,2010,20.00,,"FUSION",1.00,,1.00,,1.00,1.00,,1.89,316.25
2001361,1,2004,24.00,,"CIVIC",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.43,239.02
2001361,2,2004,50.00,,"SCION",1.00,,1.00,,2.00,2.00,"NOT NEEDED",1.43,239.02
2001366,1,2006,19.00,,"STRATUS",1.00,,1.00,,1.00,1.00,,1.90,319.03
2001366,2,2007,20.00,,"FUSION",1.00,,1.00,,2.00,1.00,,1.90,319.03
2001371,1,2008,24.00,,"ACCORD",1.00,,1.00,,2.00,1.00,,1.18,197.98
2001371,2,2007,38.00,,"ECLIPSE",1.00,,1.00,,1.00,1.00,,1.18,197.98
2001378,1,2004,47.00,,"XB",3.00,,1.00,,1.00,1.00,,1.06,178.05
2001378,2,1998,24.00,,"CIVIC",1.00,,1.00,,2.00,1.00,,1.06,178.05
2001381,1,2003,20.00,,"TAURUS",1.00,,1.00,,1.00,1.00,,0.93,155.57
2001385,1,2010,50.00,,"RAV4",3.00,,1.00,,1.00,1.00,,0.98,164.52
2001385,2,2009,24.00,,"ACCORD",1.00,,1.00,,2.00,1.00,,0.98,164.52
2001415,1,2002,24.00,,"ACCORD",1.00,,1.00,,1.00,1.00,,1.24,207.79
2001452,1,2009,51.00,,"PASSAT",1.00,,1.00,,1.00,1.00,,1.45,242.93
2001452,2,2000,51.00,,"EUROVAN",2.00,,1.00,,2.00,1.00,,1.45,242.93
2001466,1,2005,50.00,,"PRIUS",1.00,,3.00,,1.00,1.00,,1.43,240.01
2001466,2,9998,24.00,,"CIVIC",1.00,,3.00,,2.00,1.00,,1.43,240.01
2001484,1,2002,20.00,,"F-350",4.00,,2.00,,3.00,1.00,,1.49,249.89
2001484,2,2007,20.00,,"TAURUS",1.00,,1.00,,2.00,2.00,"NOT NEEDED",1.49,249.89
2001484,3,2004,19.00,,"DAKOTA",4.00,,1.00,,1.00,1.00,,1.49,249.89
2001484,4,1996,20.00,,"RANGER",4.00,,1.00,,1.00,2.00,"NOT NEEDED",1.49,249.89
2001488,1,1998,24.00,,"ACCORD",1.00,,1.00,,1.00,2.00,"NOT AVAILABLE",1.98,331.25
2001494,1,2006,50.00,,"PRIUS",1.00,,1.00,,1.00,1.00,,1.08,181.98
